Learning Content,Availability Status,Available Capacity,Sydney Start Date,Sydney End Date,Sydney Registration Deadline
Inbound EIB Integrations - Learn Virtual,Open,Yes,2024-03-22 07:00:00+11:00,2024-03-23 12:00:00+11:00,2024-03-19 07:00:00+11:00
Advanced Business Process - Learn Virtual,Open,Yes,2024-03-22 15:00:00+11:00,2024-03-23 20:00:00+11:00,2024-03-19 15:00:00+11:00
Workday Report Designer (BIRT) - Learn Virtual,Open,Yes,2024-03-22 15:00:00+11:00,2024-03-23 20:00:00+11:00,2024-03-19 15:00:00+11:00
Advanced Recruiting - Learn Virtual,Open,Yes,2024-03-22 17:00:00+11:00,2024-03-23 22:00:00+11:00,2024-03-19 17:00:00+11:00
Workday Extend Fundamentals - Learn Virtual,Open,Yes,2024-03-22 19:00:00+11:00,2024-03-24 00:00:00+11:00,2024-03-19 19:00:00+11:00
Configurable Security Fundamentals - Learn Virtual,Open,Yes,2024-03-22 21:00:00+11:00,2024-03-24 02:00:00+11:00,2024-03-19 21:00:00+11:00
Learning Fundamentals - Learn Virtual,Open,Yes,2024-03-25 10:00:00+11:00,2024-03-28 18:00:00+11:00,2024-03-20 10:00:00+11:00
Financial Services Practical - Learn Virtual,Open,Yes,2024-03-25 10:00:00+11:00,2024-03-29 18:00:00+11:00,2024-03-20 10:00:00+11:00
Compensation Consulting Core - Learn Virtual,Open,Yes,2024-03-25 13:00:00+11:00,2024-03-29 22:00:00+11:00,2024-03-20 13:00:00+11:00
Compensation Fundamentals - Learn Virtual,Open,Yes,2024-03-25 13:00:00+11:00,2024-03-28 21:00:00+11:00,2024-03-20 13:00:00+11:00
Financial Fundamentals - Learn Virtual,Open,Yes,2024-03-25 13:00:00+11:00,2024-03-28 21:00:00+11:00,2024-03-20 13:00:00+11:00
Business Process Fundamentals - Learn Virtual,Open,Yes,2024-03-25 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-20 15:00:00+11:00
Onboarding Fundamentals - Learn Virtual,Open,Yes,2024-03-25 15:00:00+11:00,2024-03-26 20:00:00+11:00,2024-03-20 15:00:00+11:00
Integration Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-25 15:00:00+11:00,2024-03-29 21:00:00+11:00,2024-03-20 15:00:00+11:00
Accounting Center - Learn Virtual,Open,Yes,2024-03-25 15:00:00+11:00,2024-03-27 20:00:00+11:00,2024-03-20 15:00:00+11:00
Accounting Center Consulting Core - Learn Virtual,Open,Yes,2024-03-25 15:00:00+11:00,2024-03-28 21:00:00+11:00,2024-03-20 15:00:00+11:00
Financial Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 04:30:00+11:00,2024-03-29 13:30:00+11:00,2024-03-21 04:30:00+11:00
HCM Applied Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 04:30:00+11:00,2024-03-29 13:30:00+11:00,2024-03-21 04:30:00+11:00
HCM Essential Concepts Consulting Core - Learn Virtual,Open,Yes,2024-03-26 04:30:00+11:00,2024-03-29 13:30:00+11:00,2024-03-21 04:30:00+11:00
